ID,SEXO,IDADE,ESCOLARIDADE,REGIÃO,UF,REGIÃO,Condição do Municipio,Porte do Municipio,F1) SEXO (Se possível assinale sem perguntar),F02_IDADE,F2) Qual a sua idade?,F2) Qual a sua idade?,F3) Em qual cidade e estado você mora?,ALFAB) Você sabe ler e escrever um bilhete simples?,ESCOLARIDADE) Até que ano da escola você cursou e concluiu?,P1.1.1) O quanto você considera que está preocupado(a) com o meio ambiente atualmente? Você diria que está...,P1.1.0) O quanto você sabe sobre aquecimento global ou mudanças climáticas?,P1.1.4) O quanto você acha importante a questão do aquecimento global?,"P1.1.2) Recentemente, tem se falado bastante sobre aquecimento global, ou seja, sobre o aumento da temperatura média mundial nos últimos 150 anos, que contribui para causar mudanças no clima do planeta. Na sua opinião, o aquecimento global está acontecendo","P1.2.1) Na sua opinião, o aquecimento global é causado principalmente pela ação humana ou é resultado de mudanças naturais do meio ambiente?","P1.2.1) Supondo que o aquecimento global está acontecendo, você acha que ele é causado principalmente pela ação humana ou é resultado de mudanças naturais do meio ambiente?",P1.2.2) Qual das três frases que eu vou ler mais se aproxima da sua opinião sobre o que os cientistas acham do aquecimento global?,P1.1.6) E o quanto você acha que o aquecimento global pode prejudicar as próximas gerações?,"P1.1.5) Na sua opinião, o quanto você acha que o aquecimento global pode prejudicar você e a sua família??",P1.2.3) Você considera mais importante:,P1.2.4) Qual dos seguintes fatores vem primeiro à sua cabeça quando se fala em aquecimento global ou mudança climática?,"P2.2.2) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das mudanças climáticas? 1º LUGAR","P2.2.2) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das mudanças climáticas? 2º LUGAR","P2.2.2) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das mudanças climáticas? 3º LUGAR","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  1. Costuma separar lixo para reciclagem","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  2. Utiliza energia solar na sua residência, ou outro tipo de energia que não é poluente","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  3. Deixa de comprar ou usar algum produto que prejudica o meio ambiente, por exemplo, sacola plástica, produtos químicos, etc","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  4. Já participou de alguma manifestação ou abaixo","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  5. Já votou em algum político em razão de suas propostas para defesa do meio ambiente","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  6. Já fez alguma doação para instituições de defesa do meio ambiente","P 1.1.7) Das opções que eu vou ler, por favor, me diga, qual delas você já fez ou costuma fazer:  7. Já compartilhou informações ou notícias em defesa do meio ambiente","P2.1.0) Agora pensando em queimadas no Brasil, o quanto você já ouviu falar sobre as queimadas que acontecem todo ano no país?",P2.1.1) Você já ouviu falar de queimadas na Amazônia?,"P.2.1.6) Recentemente saíram na imprensa notícias sobre queimadas na Amazônia. Na sua opinião, as queimadas na Amazônia são provocadas:","P.2.1.4) Na sua opinião, das opções que eu vou ler, quem são os principais responsáveis pelas queimadas na Amazônia? 1º LUGAR","P.2.1.4) Na sua opinião, das opções que eu vou ler, quem são os principais responsáveis pelas queimadas na Amazônia? 2º LUGAR","P.2.1.4) Na sua opinião, das opções que eu vou ler, quem são os principais responsáveis pelas queimadas na Amazônia? 3º LUGAR","P2.1.3) Na sua opinião, nos últimos dois anos, as queimadas na Amazônia aumentaram, estão iguais ou diminuíram em relação aos anos anteriores?","P2.1.2) Por favor, das frases que vou ler, me diga se você concorda ou discorda com cada uma delas: A) As queimadas na Amazônia prejudicam a qualidade de vida da população local","P2.1.2) Por favor, das frases que vou ler, me diga se você concorda ou discorda com cada uma delas: B) As queimadas na Amazônia são uma ameaça para o clima e o meio ambiente do planeta","P2.1.2) Por favor, das frases que vou ler, me diga se você concorda ou discorda com cada uma delas: C) As queimadas na Amazônia prejudicam a imagem do Brasil no exterior","P2.1.2) Por favor, das frases que vou ler, me diga se você concorda ou discorda com cada uma delas: D) As queimadas na Amazônia podem prejudicar as relações comerciais do Brasil com outros países.","P2.1.2) Por favor, das frases que vou ler, me diga se você concorda ou discorda com cada uma delas: E) As queimadas na Amazônia são necessárias para o crescimento da economia","P2.2.3) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das queimadas na Amazônia?  1º LUGAR","P2.2.3) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das queimadas na Amazônia?  2º LUGAR","P2.2.3) Na sua opinião, quem você acha que pode contribuir mais para resolver o problema das queimadas na Amazônia?  3º LUGAR","RAÇA) Agora, vou fazer uma pergunta exatamente como é feita pelo IBGE para classificação da população brasileira. A sua cor ou raça é:",RELIGIAO) Qual a sua religião ou culto?,"P2.1.9) Na política, as pessoas normalmente falam em “esquerda”, “direita” e “centro”. Você se define como:","INTERNET) Nos últimos 3 meses, você usou a Internet?","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  A. No computador de mesa","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  B. No notebook","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  C. No tablet","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  D. No telefone celular","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  E. No videogame","INTERNET1) Nos últimos 3 meses, você utilizou a Internet:  F. Na televisão","INTERNET2) Quando usou a Internet pelo telefone celular nos últimos 3 meses, que tipo de conexão você utilizou? A. Rede do celular, 3G e 4G","INTERNET2) Quando usou a Internet pelo telefone celular nos últimos 3 meses, que tipo de conexão você utilizou? B. Wi","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? A. TV aberta","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? B. Jornal ou revista impressos","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? C. Sites na internet","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? D. Redes sociais, como Facebook, Twitter ou Instagram","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? E. Rádio","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? F. WhatsApp","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? G. TV paga, por assinatura","P.2.1.8) Normalmente, através de quais destes meios você mais se informa? H. Conversas com parentes, amigos e colegas de trabalho",C2) A água utilizada nesse domicílio é proveniente de:,"C3) Considerando o trecho da rua do seu domicílio, você diria que a rua é:",C4) Qual é o grau de instrução do chefe da família?,Classe Social,FATOR_POND
5451,Feminino,35 a 44,Colegial,Região Sudeste,Minas Gerais,Sudeste,Interior,De 10.001 a 20.000 habitantes,Feminino,36,35 a 44 anos,35 a 44 anos,SENHORA DOS REMÉDIOS - MG,Sim,Ensino Médio - 3ª série do Ensino Médio,Muito preocupado(a),Mais ou menos,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Destruição da camada de ozônio,Empresas e indústrias,Os cidadãos,Os governos,Sim,Não,Sim,Não,Sim,Sim,Sim,Muito,Sim,Ambos, , , ,Aumentaram,Concorda,Concorda,Concorda,Concorda,Discorda,As ongs,Empresas e indústrias,Os cidadãos,Amarela,Católica apostólica romana,Não sabe,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Fundamental completo/ médio incompleto (ginasial completo/ col. Incompleto),C1,"1,18392"
5492,Feminino,25 a 34,Superior,Região Sul,Rio Grande Do Sul,Sul,Periferia,De 100.000 a 500.000 habitantes,Feminino,25,25 a 34 anos,25 a 34 anos,VIAMÃO - RS,Sim,Ensino Superior - Superior Incompleto,Muito preocupado(a),Muito,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Falta de água potável,Os cidadãos,Os governos,Empresas e indústrias,Sim,Não,Sim,Sim,Sim,Sim,Sim,Mais ou menos,Sim,Ambos, , , ,Aumentaram,Concorda,Concorda,Discorda,Concorda,Discorda,Os governos,Empresas e indústrias,Os cidadãos,Branca,Ateu,Não sabe,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,C) Outro meio,B) Terra/cascalho,Médio completo/ superior incompleto (colegial completo/ sup. Incompleto),DE,"2,37475"
5835,Masculino,45 a 54,Colegial,Região Sudeste,Minas Gerais,Sudeste,Capital,Acima de 500.000 habitantes,Masculino,53,45 a 54 anos,45 a 54 anos,BELO HORIZONTE - MG,Sim,Ensino Médio - 3ª série do Ensino Médio,Muito preocupado(a),Um pouco,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente?",Destruição da camada de ozônio,Os governos,Empresas e indústrias,As ongs,Sim,Não,Sim,Não,Não,Sim,Sim,Muito,Sim,"Por mudanças naturais no meio ambiente, que deixam a floresta mais seca em algumas épocas do ano", , , ,Aumentaram,Concorda,Concorda,Concorda,Concorda,Discorda,Os governos,Empresas e indústrias,As ongs,Parda,Católica apostólica romana,Mais à esquerda,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Médio completo/ superior incompleto (colegial completo/ sup. Incompleto),C1,"1,25441"
5864,Feminino,35 a 44,Ginásio,Região Sudeste,São Paulo,Sudeste,Interior,Acima de 500.000 habitantes,Feminino,44,35 a 44 anos,35 a 44 anos,SOROCABA - SP,Sim,Ensino Fundamental Ii - 5ª série ou 6º ano do Fundamental,Muito preocupado(a),Mais ou menos,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Aumento de doenças respiratórias,Os cidadãos,Empresas e indústrias,Os governos,Sim,Não,Não,Não,Não,Sim,Sim,Muito,Sim,Por ação humana,Madeireiros,Indígenas, ,Aumentaram,Concorda,Concorda,Concorda,Concorda,Discorda,Os governos,Empresas e indústrias,Os cidadãos,Parda,Católica apostólica romana,Não respondeu,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Fundamental completo/ médio incompleto (ginasial completo/ col. Incompleto),C1,"1,08393"
5866,Masculino,55 e +,Ginásio,Região Sudeste,Minas Gerais,Sudeste,Periferia,De 10.001 a 20.000 habitantes,Masculino,69,55 anos ou mais,55 anos ou mais,SÃO JOSÉ DA LAPA - MG,Sim,Ensino Fundamental Ii - 6ª série ou 7º ano do Fundamental,Muito preocupado(a),Um pouco,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Derretimento do gelo nos polos,Empresas e indústrias,Os cidadãos,Os governos,Sim,Não,Não,Não,Não,Não,Sim,Muito,Sim,Por ação humana,Madeireiros,Outros responsáveis,Garimpeiros,Aumentaram,Não concorda nem discorda,Concorda,Concorda,Concorda,Discorda,Os governos,Os cidadãos,As ongs,Parda,Católica apostólica romana,Mais à direita?,Não, , , , , , , , ,Sim,Sim,Não,Não,Sim,Não,Não,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Fundamental i completo/fundamental ii incompleto (primário completo/ gin. Incompleto),C1,"1,10024"
6623,Feminino,55 e +,Superior,Região Nordeste,Bahia,Nordeste,Interior,Acima de 500.000 habitantes,Feminino,56,55 anos ou mais,55 anos ou mais,FEIRA DE SANTANA - BA,Sim,Ensino Superior - Superior completo,Muito preocupado(a),Mais ou menos,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Derretimento do gelo nos polos,Os cidadãos,Empresas e indústrias,Os governos,Não,Não,Não,Não,Sim,Não,Sim,Muito,Sim,Ambos, , , ,Aumentaram,Concorda,Concorda,Concorda,Não concorda nem discorda,Discorda,Os governos,As ongs,Os cidadãos,Parda,"Protestante não evangélico (calvinista, luterano, metodista, anglicano, etc)",No centro ou,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Superior completo,C1,"1,13495"
7053,Feminino,45 a 54,Superior,Região Sudeste,São Paulo,Sudeste,Interior,De 50.001 a 100.000 habitantes,Feminino,45,45 a 54 anos,45 a 54 anos,ITAPEVA - SP,Sim,Ensino Superior - Superior completo,Muito preocupado(a),Um pouco,Muito importante,Sim,Causado principalmente pela ação humana, ,Dois: os cientistas discordam muito entre eles sobre se o aquecimento global está acontecendo ou,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Aumento da poluição,Empresas e indústrias,Os governos,Os cidadãos,Não,Não,Não,Sim,Não,Sim,Sim,Muito,Sim,Por ação humana,Madeireiros,Pecuaristas e criadores de animais,Garimpeiros,Aumentaram,Concorda,Concorda,Concorda,Concorda,Discorda,Os governos,Empresas e indústrias,As ongs,Branca,Católica apostólica romana,Mais à esquerda,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Superior completo,B1,"0,72774"
7251,Feminino,35 a 44,Colegial,Região Sul,Santa Catarina,Sul,Interior,De 10.001 a 20.000 habitantes,Feminino,42,35 a 44 anos,35 a 44 anos,RODEIO - SC,Sim,Ensino Médio - 2ª série do Ensino Médio,Muito preocupado(a),Nada,Não sabe,Sim,Resultado de mudanças naturais do meio ambiente, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Nada,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Falta de água potável,Os cidadãos,As ongs,Empresas e indústrias,Sim,Não,Não,Não,Sim,Não,Não,Mais ou menos,Sim,Por ação humana,Agricultores,Outros responsáveis,Indígenas,Diminuíram,Concorda,Concorda,Concorda,Concorda,Discorda,Os cidadãos,Empresas e indústrias,As ongs,Branca,Católica apostólica romana,Mais à direita?,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,A) Rede geral de distribuição,B) Terra/cascalho,Fundamental completo/ médio incompleto (ginasial completo/ col. Incompleto),C2,"1,31438"
7898,Feminino,45 a 54,Colegial,Região Sudeste,São Paulo,Sudeste,Capital,Acima de 500.000 habitantes,Feminino,46,45 a 54 anos,45 a 54 anos,SÃO PAULO - SP,Sim,Ensino Médio - 3ª série do Ensino Médio,Preocupado(a),Muito,Muito importante,Sim,Ambos, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Mais ou menos,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Derretimento do gelo nos polos,Empresas e indústrias,Os cidadãos,As ongs,Sim,Não,Sim,Não,Não,Não,Sim,Muito,Sim,Por ação humana,Políticos,Madeireiros,Indígenas,Diminuíram,Concorda,Discorda,Discorda,Discorda,Discorda,Não respondeu, , ,Parda,Católica apostólica romana,Mais à direita?,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Superior completo,A,"0,24754"
8318,Feminino,25 a 34,Superior,Região Sul,Santa Catarina,Sul,Interior,Acima de 500.000 habitantes,Feminino,32,25 a 34 anos,25 a 34 anos,JOINVILLE - SC,Sim,Ensino Superior - Superior completo,Muito preocupado(a),Muito,Muito importante,Sim,Causado principalmente pela ação humana, ,Um: a maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos ou",Aumento de doenças respiratórias,Os governos,Empresas e indústrias,Os cidadãos,Sim,Não,Sim,Não,Sim,Não,Sim,Muito,Sim,Por ação humana,Pecuaristas e criadores de animais,Agricultores,Garimpeiros,Aumentaram,Concorda,Concorda,Concorda,Discorda,Não concorda nem discorda,Os governos,Os cidadãos,Empresas e indústrias,Branca,Católica apostólica romana,No centro ou,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,A) Rede geral de distribuição,A) Asfaltada/pavimentada,Superior completo,A,"0,38181"
